"Date","Match","Venue (city, stadium)","Opponent","Score","Manager","Notes"
"1953-10-28","World Cup 1954 qualifier","Dublin, Dalymount Park","Luxembourg","4-0","FAI",""
"1953-11-25","World Cup 1954 qualifier","Paris, Parc des Princes","France","0-1","FAI",""
"1954-03-07","World Cup 1954 qualifier","Luxembourg, Stade Municipal","Luxembourg","1-0","FAI",""
"1954-11-07","Friendly","Dublin, Dalymount Park","Norway","2-1","FAI",""
"1955-05-01","Friendly","Dublin, Dalymount Park","Netherlands","1-0","FAI",""
"1955-05-25","Friendly","Oslo, Bislett Stadion","Norway","3-1","FAI",""
"1955-05-28","Friendly","Hamburg, Volksparkstadion","West Germany","1-2","FAI",""
"1955-10-19","Friendly","Dublin, Dalymount Park","Yugoslavia","1-4","FAI","Liam Tuohy debut. Archbishop McQuaid called for a boycott of the match with communists, but the stadium was filled."
"1955-11-27","Friendly","Dublin, Dalymount Park","Spain","2-2","FAI",""
"1956-05-10","Friendly","Rotterdam, Feijenoord Stadion","Netherlands","4-1","FAI",""
"1956-10-03","World Cup 1958 qualifier","Dublin, Dalymount Park","Denmark","2-1","FAI",""
"1956-11-25","Friendly","Dublin, Dalymount Park","West Germany","3-0","FAI","Ireland defeated the world champions."
"1957-05-08","World Cup 1958 qualifier","London, Wembley Stadium","England","1-5","FAI",""
"1957-05-19","World Cup 1958 qualifier","Dublin, Dalymount Park","England","1-1","FAI","Record Dalymount Park crowd: 47,600. Gate: £11,750."
"1957-10-02","World Cup 1958 qualifier","Copenhagen, Idrætsparken","Denmark","2-0","FAI",""
"1958-05-11","Friendly","Katowice, Silesian Stadium","Poland","2-2","FAI","Crowd: 100,000."
"1958-05-14","Friendly","Vienna, Praeter Park","Austria","1-3","FAI",""
"1958-10-05","Friendly","Dublin, Dalymount Park","Poland","2-2","FAI",""
"1959-04-05","European Nations' Cup 1960 qualifier","Dublin, Dalymount Park","Czechoslovakia","2-0","FAI","First match of newly-created European Nations' Cup. Liam Tuohy scored his first goal for Ireland and first goal ever of the European Championship. Crowd: 37,500."
"1959-05-10","European Nations' Cup 1960 qualifier","Bratislava, Tehelné Pole Štadión","Czechoslovakia","0-4","FAI","Ireland was first team ever eliminated from European Nations' Cup. Crowd: 41,691."
"1959-11-01","Friendly","Dublin, Dalymount Park","Sweden","3-2","FAI","John Giles debut aged 18."
"1960-03-30","Friendly","Dublin, Dalymount Park","Chile","2-0","FAI",""
"1960-05-11","Friendly","Düsseldorf, Rheinstadion","West Germany","1-0","FAI",""
"1960-05-18","Friendly","Malmö, Malmö Stadion","Sweden","1-4","FAI",""
"1960-09-28","Friendly","Dublin, Dalymount Park","Wales","2-3","FAI",""
"1960-11-06","Friendly","Dublin, Dalymount Park","Norway","3-1","FAI",""
"1961-05-03","World Cup 1962 qualifier","Glasgow, Hampden Park","Scotland","1-4","FAI","Mick Meagan debut."
"1961-05-07","World Cup 1962 qualifier","Dublin, Dalymount Park","Scotland","0-3","FAI",""
"1961-10-08","World Cup 1962 qualifier","Dublin, Dalymount Park","Czechoslovakia","1-3","FAI",""
"1961-10-29","World Cup 1962 qualifier","Prague, Strahov Stadium","Czechoslovakia","1-7","FAI","No qualifying points earned."
"1962-04-08","Friendly","Dublin, Dalymount Park","Austria","2-3","FAI",""
"1962-08-12","European Nations' Cup 1964 qualifier","Dublin, Dalymount Park","Iceland","4-2","FAI",""
"1962-09-02","European Nations' Cup 1964 qualifier","Reykjavík, Laugardalsvöllur","Iceland","1-1","FAI",""
"1963-06-09","Friendly","Dublin, Dalymount Park","Scotland","1-0","FAI",""
"1963-09-25","European Nations' Cup 1964 qualifier","Vienna, Praterstadion","Austria","0-0","FAI",""
"1963-10-13","European Nations' Cup 1964 qualifier","Dublin, Dalymount Park","Austria","3-2","FAI",""
"1964-03-11","European Nations' Cup 1964 qualifier","Seville, Estadio Ramón Sánchez Pizjuán","Spain","1-5","FAI",""
"1964-04-08","European Nations' Cup 1964 qualifier","Dublin, Dalymount Park","Spain","0-2","FAI",""
"1964-05-10","Friendly","Kraków, Stadion Wisly","Poland","1-3","FAI",""
"1964-05-13","Friendly","Oslo, Ullevaal Stadion","Norway","4-1","FAI",""
"1964-05-24","Friendly","Dublin, Dalymount Park","England","1-3","FAI",""
"1964-10-25","Friendly","Dublin, Dalymount Park","Poland","3-2","FAI",""
"1965-03-24","Friendly","Dublin, Dalymount Park","Belgium","0-2","FAI","Liam Tuohy's final appearance."
"1965-05-05","World Cup 1966 qualifier","Dublin, Dalymount Park","Spain","1-0","FAI",""
"1965-10-27","World Cup 1966 qualifier","Seville, Estadio Ramón Sánchez Pizjuán","Spain","1-4","FAI",""
"1965-11-10","World Cup 1966 play-off","Paris, Stade Colombes","Spain","0-1","FAI","Ireland eliminated."
"1966-05-04","Friendly","Dublin, Dalymount Park","West Germany","0-4","FAI",""
"1966-05-22","Friendly","Vienna, Praterstadion","Austria","0-1","FAI",""
"1966-05-25","Friendly","Liège, Stade Maurice Dufrasne","Belgium","3-2","FAI",""
"1966-10-23","European Championship 1968 qualifier","Dublin, Dalymount Park","Spain","0-0","FAI","European Nations' Cup name changed to European Football Championship."
"1966-11-16","European Championship 1968 qualifier","Dublin, Dalymount Park","Turkey","2-1","FAI",""
"1966-12-07","European Championship 1968 qualifier","Valencia, Estadio Mestalla","Spain","0-2","FAI",""
"1967-02-22","European Championship 1968 qualifier","Ankara, 19 Mayıs Stadium","Turkey","1-2","FAI",""
"1967-05-21","European Championship 1968 qualifier","Dublin, Dalymount Park","Czechoslovakia","0-2","FAI",""
"1967-11-22","European Championship 1968 qualifier","Prague, Slavia Stadium","Czechoslovakia","2-1","FAI",""
"1968-05-15","Friendly","Dublin, Dalymount Park","Poland","2-2","FAI",""
"1968-10-30","Friendly","Chorzów, Stadion Slaski","Poland","0-1","FAI",""
"1968-11-10","Friendly","Dublin, Dalymount Park","Austria","2-2","FAI",""
"1968-12-04","World Cup 1970 qualifier","Dublin, Dalymount Park","Denmark","1-1","FAI","Abandoned at 51 minutes because of fog. Replayed 1969-10-15."
"1969-05-04","World Cup 1970 qualifier","Dublin, Dalymount Park","Czechoslovakia","1-2","FAI",""
"1969-05-27","World Cup 1970 qualifier","Copenhagen, Idrætsparken","Denmark","0-2","FAI","Don Givens debut."
"1969-06-08","World Cup 1970 qualifier","Dublin, Dalymount Park","Hungary","1-2","FAI",""
"1969-09-21","Friendly","Dublin, Dalymount Park","Scotland","1-1","Meagan","New manager: Mick Meagan."
"1969-10-07","World Cup 1970 qualifier","Prague, Sparta Stadium","Czechoslovakia","0-3","Meagan",""
"1969-10-15","World Cup 1970 qualifier","Dublin, Dalymount Park","Denmark","1-1","Meagan","Replay of 1968-12-04 Denmark match."
"1969-11-05","World Cup 1970 qualifier","Budapest, Népstadion","Hungary","0-4","Meagan","John Dempsey, red card. First Irish player ever to be sent off."
"1970-05-06","Friendly","Poznań, Warta Stadion","Poland","1-2","Meagan",""
"1970-05-09","Friendly","West Berlin, Olympiastadion","West Germany","1-2","Meagan",""
"1970-09-23","Friendly","Dublin, Dalymount Park","Poland","0-2","Meagan","Steve Heighway debut."
"1970-10-14","European Championship 1972 qualifier","Dublin, Dalymount Park","Sweden","1-1","Meagan",""
"1970-10-28","European Championship 1972 qualifier","Solna, Råsunda Stadium","Sweden","0-1","Meagan",""
"1970-12-08","European Championship 1972 qualifier","Florence, Stadio Artemio Franchi","Italy","0-3","Meagan",""
"1971-05-10","European Championship 1972 qualifier","Dublin, Lansdowne Road","Italy","1-2","Meagan",""
"1971-05-30","European Championship 1972 qualifier","Dublin, Dalymount Park","Austria","1-4","Meagan","Jimmy Holmes debut."
"1971-10-10","European Championship 1972 qualifier","Linz, Linzer Stadion","Austria","0-6","Tuohy","New manager: Liam Tuohy."
"1972-01-04","Friendly","Dublin, Dalymount Park","West German Olympic XI","3-0","Tuohy","Unofficial match. First win since 1967 (four years)."
"1972-06-11","Brazil Independence Cup","Recife, Santa Crux Stadium","Iran","2-1","Tuohy","Tournament to mark the 150th anniversary of Brazilian independence."
"1972-06-18","Brazil Independence Cup","Natal, Machadão","Ecuador","3-2","Tuohy","Friendly."
"1972-06-21","Brazil Independence Cup","Recife, Estádio Ilha do Retiro","Chile","1-2","Tuohy","Friendly."
"1972-06-25","Brazil Independence Cup","Recife, Estádio Ilha do Retiro","Portugal","1-2","Tuohy","Friendly."
"1972-10-18","World Cup 1974 qualifier","Dublin, Lansdowne Road","Soviet Union","1-2","Tuohy","Alan Kelly, Sr. first goalkeeper to captain Ireland."
"1972-11-15","World Cup 1974 qualifier","Dublin, Dalymount Park","France","2-1","Tuohy",""
"1973-05-13","World Cup 1974 qualifier","Moscow, Lenin Stadium","Soviet Union","0-1","Tuohy",""
"1973-05-16","Friendly","Wrocław, Olympic Stadium","Poland","0-2","Tuohy",""
"1973-05-19","World Cup 1974 qualifier","Paris, Parc des Princes","France","1-1","Tuohy",""
"1973-06-06","Friendly","Oslo, Ullevaal Stadion","Norway","1-1","Thomas","Manager: Seán Thomas."
"1973-07-03","Friendly","Dublin, Lansdowne Road","Brazil","3-4","Tuohy","Unofficial match. See: Shamrock Rovers XI vs Brazil. Crowd: 34,000."
"1973-10-21","Friendly","Dublin, Dalymount Park","Poland","1-0","Giles","New manager: John Giles."
"1974-05-05","Friendly","Rio de Janeiro, Estádio do Maracanã","Brazil","1-2","Giles",""
"1974-05-08","Friendly","Montevideo, Estadio Centenario","Uruguay","0-2","Giles",""
"1974-05-12","Friendly","Santiago, Estadio Nacional","Chile","2-1","Giles",""
"1974-10-30","European Championship 1976 qualifier","Dublin, Dalymount Park","Soviet Union","3-0","Giles","Don Givens hat-trick."
"1974-11-20","European Championship 1976 qualifier","İzmir, Atatürk Olympic Stadium","Turkey","1-1","Giles",""
"1975-03-11","Friendly","Dublin, Dalymount Park","West Germany B team","1-0","Giles","Unofficial match."
"1975-05-11","European Championship 1976 qualifier","Dublin, Dalymount Park","Switzerland","2-1","Giles",""
"1975-05-18","European Championship 1976 qualifier","Kiev, Central Stadium","Soviet Union","1-2","Giles","Crowd: 100,000."
"1975-05-21","European Championship 1976 qualifier","Bern, Wankdorfstadion","Switzerland","0-1","Giles",""
"1975-10-29","European Championship 1976 qualifier","Dublin, Dalymount Park","Turkey","4-0","Giles","Four goals by Don Givens."
"1976-03-24","Friendly","Dublin, Dalymount Park","Norway","3-0","Giles",""
"1976-05-26","Friendly","Poznań, Warta Stadion","Poland","2-0","Giles",""
"1976-09-08","Friendly","London, Wembley Stadium","England","1-1","Giles","David O'Leary debut aged 18."
"1976-10-13","Friendly","Ankara, 19 Mayıs Stadium","Turkey","3-3","Giles","Frank Stapleton debut aged 20."
"1976-11-17","World Cup 1978 qualifier","Paris, Parc des Princes","France","0-2","Giles",""
"1977-02-09","Friendly","Dublin, Lansdowne Road","Spain","0-1","Giles",""
"1977-03-30","World Cup 1978 qualifier","Dublin, Lansdowne Road","France","1-0","Giles",""
"1977-04-24","Friendly","Dublin, Dalymount Park","Poland","0-0","Giles",""
"1977-06-01","World Cup 1978 qualifier","Sofia, Vasil Levski National Stadium","Bulgaria","1-2","Giles",""
"1977-10-12","World Cup 1978 qualifier","Dublin, Lansdowne Road","Bulgaria","0-0","Giles",""
"1978-04-05","Friendly","Dublin, Lansdowne Road","Turkey","4-2","Giles",""
"1978-04-12","Friendly","Łódź, Stadion ŁKS","Poland","0-3","Giles",""
"1978-05-21","Friendly","Oslo, Ullevaal Stadion","Norway","0-0","Giles",""
"1978-05-24","European Championship 1980 qualifier","Copenhagen, Idrætsparken","Denmark","3-3","Giles",""
"1978-09-20","European Championship 1980 qualifier","Dublin, Lansdowne Road","Northern Ireland","0-0","Giles","First official international match against Northern Ireland."
"1978-10-25","European Championship 1980 qualifier","Dublin, Lansdowne Road","England","1-1","Giles",""
"1979-05-02","European Championship 1980 qualifier","Dublin, Lansdowne Road","Denmark","2-0","Giles",""
"1979-05-19","European Championship 1980 qualifier","Sofia, Vasil Levski National Stadium","Bulgaria","0-1","Giles",""
"1979-05-22","Friendly","Dublin, Lansdowne Road","West Germany","1-3","Giles",""
"1979-05-29","Friendly","Dublin, Lansdowne Road","Argentina","0-0","Giles","Unofficial match. UNICEF charity match."
"1979-08-16","Friendly","Bilbao, San Mamés Stadium","Basque Country","1-4","Giles","Unofficial match. First Basque international since 1939, owing to the Franco dictatorship."
"1979-09-11","Friendly","Swansea, Vetch Field","Wales","1-2","Giles",""
"1979-09-26","Friendly","Prague, Stadion Evžena Rošického","Czechoslovakia","1-4","Giles",""
"1979-10-17","European Championship 1980 qualifier","Dublin, Lansdowne Road","Bulgaria","3-0","Giles",""
"1979-10-29","Friendly","Dublin, Dalymount Park","United States","3-2","Giles","Chris Hughton became first mixed-race player for Ireland."
"1979-11-21","European Championship 1980 qualifier","Belfast, Windsor Park","Northern Ireland","0-1","Giles",""
"1980-02-06","European Championship 1980 qualifier","London, Wembley Stadium","England","0-2","Giles",""
"1980-03-26","World Cup 1982 qualifier","Nicosia, Makario Stadium","Cyprus","3-2","Giles",""
"1980-04-30","Friendly","Dublin, Lansdowne Road","Switzerland","2-0","Kelly","Manager: Alan Kelly, Sr."
"1980-05-16","Friendly","Dublin, Lansdowne Road","Argentina","0-1","Hand","New manager: Eoin Hand."
"1980-09-10","World Cup 1982 qualifier","Dublin, Lansdowne Road","Netherlands","2-1","Hand",""
"1980-10-15","World Cup 1982 qualifier","Dublin, Lansdowne Road","Belgium","1-1","Hand",""
"1980-10-28","World Cup 1982 qualifier","Paris, Parc des Princes","France","0-2","Hand",""
"1980-11-19","World Cup 1982 qualifier","Dublin, Lansdowne Road","Cyprus","6-0","Hand",""
"1981-02-24","Friendly","Dublin, Tolka Park","Wales","1-3","Hand",""
"1981-03-25","World Cup 1982 qualifier","Brussels, Stade du Heysel","Belgium","0-1","Hand","Ireland eliminated by France on goal difference."
"1981-04-29","Friendly","Dublin, Lansdowne Road","Czechoslovakia","3-1","Hand","Ronnie Whelan debut aged 19."
"1981-05-21","Friendly","Bremen, Weserstadion","West Germany B team","0-3","Hand","Unofficial match."
"1981-05-23","Friendly","Bydgoszcz, Zdzisław Krzyszkowiak Stadium","Poland","0-3","Hand","Packie Bonner debut."
"1981-09-09","World Cup 1982 qualifier","Rotterdam, Feijenoord Stadion","Netherlands","2-2","Hand",""
"1981-10-14","World Cup 1982 qualifier","Dublin, Lansdowne Road","France","3-2","Hand",""
"1982-04-28","Friendly","Algiers, Olympic Stadium","Algeria","0-2","Hand","Crowd: 60,000."
"1982-05-22","Friendly","Santiago, Estadio Nacional","Chile","0-1","Hand",""
"1982-05-27","Friendly","Uberlândia, Estádio Parque do Sabiá","Brazil","0-7","Hand","Worst defeat."
"1982-05-30","Friendly","Port of Spain, Arima Stadium","Trinidad and Tobago","1-2","Hand",""
"1982-09-22","European Championship 1984 qualifier","Rotterdam, Feijenoord Stadion","Netherlands","1-2","Hand",""
"1982-10-13","European Championship 1984 qualifier","Dublin, Lansdowne Road","Iceland","2-0","Hand",""
"1982-11-17","European Championship 1984 qualifier","Dublin, Lansdowne Road","Spain","3-3","Hand",""
"1983-03-30","European Championship 1984 qualifier","Valletta, Ta'Qali Stadium","Malta","1-0","Hand",""
"1983-04-27","European Championship 1984 qualifier","Zaragoza, Estadio La Romareda","Spain","0-2","Hand",""
"1983-09-21","European Championship 1984 qualifier","Reykjavík, Laugardalsvöllur","Iceland","3-0","Hand",""
"1983-10-12","European Championship 1984 qualifier","Dublin, Dalymount Park","Netherlands","2-3","Hand",""
"1983-11-16","European Championship 1984 qualifier","Dublin, Dalymount Park","Malta","8-0","Hand","Best win."
"1984-04-04","Friendly","Jaffa, Bloomfield Stadium","Israel","0-3","Hand",""
"1984-05-23","Friendly","Dublin, Dalymount Park","Poland","0-0","Hand",""
"1984-05-27","Kirin Cup / Friendly","Japan","Japan Universiade XI","0-0","Hand","Unofficial match."
"1984-06-01","Kirin Cup / Friendly","Japan","Internacional","0-0","Hand","Unofficial match."
"1984-06-03","Kirin Cup / Friendly","Japan, Sapporo","China","1-0","Hand","This match recognised as an official international match."
"1984-06-05","Kirin Cup / Friendly","Japan","Internacional","1-2","Hand","Unofficial match. Ireland's first appearance in the final of an international football competition."
"1984-08-08","Friendly","Dublin, Dalymount Park","Mexico","0-0","Hand",""
"1984-09-12","World Cup 1986 qualifier","Dublin, Lansdowne Road","Soviet Union","1-0","Hand",""
"1984-10-17","World Cup 1986 qualifier","Oslo, Ullevaal Stadion","Norway","0-1","Hand",""
"1984-11-14","World Cup 1986 qualifier","Copenhagen, Idrætsparken","Denmark","0-3","Hand",""
"1985-02-05","Friendly","Dublin, Dalymount Park","Italy","1-2","Hand",""
"1985-02-27","Friendly","Tel Aviv, Ramat Gan Stadium","Israel","0-0","Hand",""
"1985-03-26","Friendly","London, Wembley Stadium","England","1-2","Hand",""
"1985-05-01","World Cup 1986 qualifier","Dublin, Lansdowne Road","Norway","0-0","Hand",""
"1985-05-26","Friendly","Cork, Flower Lodge","Spain","0-0","Hand",""
"1985-06-02","World Cup 1986 qualifier","Dublin, Lansdowne Road","Switzerland","3-0","Hand",""
"1985-09-11","World Cup 1986 qualifier","Bern, Wankdorfstadion","Switzerland","0-0","Hand",""
"1985-10-16","World Cup 1986 qualifier","Moscow, Lenin Stadium","Soviet Union","0-2","Hand","Crowd: 103,000 (largest crowd)."
"1985-11-13","World Cup 1986 qualifier","Dublin, Lansdowne Road","Denmark","1-4","Hand",""
"1986-03-26","Friendly","Dublin, Lansdowne Road","Wales","0-1","Charlton","New manager: Jack Charlton."
"1986-04-23","Friendly","Dublin, Lansdowne Road","Uruguay","1-1","Charlton",""
"1986-05-25","Iceland Triangular Tournament","Reykjavík, Laugardalsvöllur","Iceland","2-1","Charlton","Niall Quinn debut."
"1986-05-27","Iceland Triangular Tournament","Reykjavík, Laugardalsvöllur","Czechoslovakia","1-0","Charlton","Ireland won their first international tournament. Crowd: 1,000."
"1986-09-10","European Championship 1988 qualifier","Brussels, Constant Vanden Stock Stadium","Belgium","2-2","Charlton",""
"1986-10-15","European Championship 1988 qualifier","Dublin, Lansdowne Road","Scotland","0-0","Charlton",""
"1986-11-12","Friendly","Warsaw, Stadion Wojska Polskiego","Poland","0-1","Charlton",""
"1987-02-18","European Championship 1988 qualifier","Glasgow, Hampden Park","Scotland","1-0","Charlton",""
"1987-04-01","European Championship 1988 qualifier","Sofia, Vasil Levski National Stadium","Bulgaria","1-2","Charlton",""
"1987-04-29","European Championship 1988 qualifier","Dublin, Lansdowne Road","Belgium","0-0","Charlton",""
"1987-05-23","Friendly","Dublin, Lansdowne Road","Brazil","1-0","Charlton","Crowd: 17,000. Scorer: Liam Brady."
"1987-05-28","European Championship 1988 qualifier","Luxembourg, Stade Municipal","Luxembourg","2-0","Charlton",""
"1987-09-09","European Championship 1988 qualifier","Dublin, Lansdowne Road","Luxembourg","2-1","Charlton",""
"1987-10-14","European Championship 1988 qualifier","Dublin, Lansdowne Road","Bulgaria","2-0","Charlton",""
"1987-11-10","Friendly","Dublin, Lansdowne Road","Israel","5-0","Charlton",""
"1988-03-23","Friendly","Dublin, Lansdowne Road","Romania","2-0","Charlton",""
"1988-04-27","Friendly","Dublin, Lansdowne Road","Yugoslavia","2-0","Charlton",""
"1988-05-22","Friendly","Dublin, Lansdowne Road","Poland","3-1","Charlton",""
"1988-06-01","Friendly","Oslo, Ullevaal Stadion","Norway","0-0","Charlton",""
"1988-06-12","European Championship 1988","Stuttgart, Neckarstadion","England","1-0","Charlton","First Irish appearance at European Championship tournament. Crowd: 51,573."
"1988-06-15","European Championship 1988","Hanover, Niedersachsenstadion","Soviet Union","1-1","Charlton","Crowd: 38,308."
"1988-06-18","European Championship 1988","Gelsenkirchen, Parkstadion","Netherlands","0-1","Charlton","Crowd: 60,800. Eliminated team welcomed home by 200,000 people."
"1988-09-14","World Cup 1990 qualifier","Belfast, Windsor Park","Northern Ireland","0-0","Charlton",""
"1988-10-19","Friendly","Dublin, Lansdowne Road","Tunisia","4-0","Charlton",""
"1988-11-16","World Cup 1990 qualifier","Seville, Estadio Benito Villamarín","Spain","0-2","Charlton",""
"1989-02-07","Friendly","Dublin, Dalymount Park","France","0-0","Charlton",""
"1989-03-08","World Cup 1990 qualifier","Budapest, Népstadion","Hungary","0-0","Charlton",""
"1989-04-26","World Cup 1990 qualifier","Dublin, Lansdowne Road","Spain","1-0","Charlton",""
"1989-05-28","World Cup 1990 qualifier","Dublin, Lansdowne Road","Malta","2-0","Charlton",""
"1989-06-04","World Cup 1990 qualifier","Dublin, Lansdowne Road","Hungary","2-0","Charlton",""
"1989-09-06","Friendly","Dublin, Lansdowne Road","West Germany","1-1","Charlton",""
"1989-10-11","World Cup 1990 qualifier","Dublin, Lansdowne Road","Northern Ireland","3-0","Charlton",""
"1989-11-15","World Cup 1990 qualifier","Valletta, Ta'Qali Stadium","Malta","2-0","Charlton","John Aldridge's two goals gained Ireland their first World Cup qualification."
"1990-03-28","Friendly","Dublin, Lansdowne Road","Wales","1-0","Charlton",""
"1990-04-25","Friendly","Dublin, Lansdowne Road","Soviet Union","1-0","Charlton",""
"1990-05-16","Friendly","Dublin, Lansdowne Road","Finland","1-1","Charlton","Liam Brady testimonial match."
"1990-05-27","Friendly","İzmir, Atatürk Olympic Stadium","Turkey","0-0","Charlton",""
"1990-06-02","Friendly","Valletta, Ta'Qali Stadium","Malta","3-0","Charlton",""
